booking_id,passenger_id,flight_id,booking_date,seat_class,booking_status
BK00001,PS00224,FL0114,2026-07-07 10:17:00,Economy,Confirmed
BK00002,PS00358,FL0194,2026-08-02 00:50:00,Business,Confirmed
BK00003,PS00323,FL0001,2026-04-15 03:57:00,Economy,Confirmed
BK00004,PS00380,FL0147,2026-07-24 11:35:00,Economy,Cancelled
BK00005,PS00108,FL0180,2026-07-19 15:18:00,Economy,Confirmed
BK00006,PS00796,FL0155,2026-04-08 02:26:00,Economy,Confirmed
BK00007,PS00686,FL0046,2026-04-22 08:50:00,Economy,Confirmed
BK00008,PS00650,FL0133,2026-05-27 20:19:00,Economy,Confirmed
BK00009,PS00314,FL0051,2026-04-26 12:34:00,Economy,Confirmed
BK00010,PS00906,FL0156,2026-04-21 05:36:00,Economy,Confirmed
BK00011,PS00152,FL0190,2026-04-30 03:45:00,Economy,Confirmed
BK00012,PS00153,FL0033,2026-05-20 23:57:00,Economy,Confirmed
BK00013,PS00271,FL0097,2026-06-04 02:43:00,Premium Economy,Confirmed
BK00014,PS00918,FL0142,2026-08-03 00:45:00,Economy,Pending
BK00015,PS00148,FL0173,2026-05-17 08:02:00,Premium Economy,Pending
BK00016,PS00781,FL0009,2026-06-05 09:23:00,Economy,Pending
BK00017,PS00459,FL0149,2026-08-07 16:58:00,Economy,Confirmed
BK00018,PS00387,FL0106,2026-07-16 05:43:00,Economy,Confirmed
BK00019,PS00827,FL0023,2026-04-11 19:57:00,Economy,Confirmed
BK00020,PS00371,FL0143,2026-05-21 11:04:00,Economy,Confirmed
BK00021,PS00540,FL0080,2026-05-10 15:20:00,Economy,Confirmed
BK00022,PS00874,FL0117,2026-06-24 18:39:00,Economy,Confirmed
BK00023,PS00197,FL0134,2026-07-27 01:26:00,Economy,Cancelled
BK00024,PS00717,FL0019,2026-05-13 12:37:00,Economy,Confirmed
BK00025,PS00152,FL0055,2026-04-16 13:47:00,Economy,Pending
BK00026,PS00011,FL0131,2026-05-19 17:22:00,Economy,Confirmed
BK00027,PS00040,FL0129,2026-07-11 14:26:00,Economy,Confirmed
BK00028,PS00835,FL0058,2026-07-29 20:24:00,Premium Economy,Confirmed
BK00029,PS00931,FL0014,2026-07-11 20:19:00,Economy,Confirmed
BK00030,PS00199,FL0183,2026-07-21 04:35:00,Economy,Confirmed
BK00031,PS00863,FL0088,2026-05-05 20:23:00,Economy,Cancelled
BK00032,PS00858,FL0040,2026-07-30 19:26:00,Economy,Confirmed
BK00033,PS00242,FL0061,2026-07-02 00:46:00,Business,Confirmed
BK00034,PS00668,FL0088,2026-04-26 20:23:00,Economy,Confirmed
BK00035,PS00608,FL0093,2026-08-28 04:38:00,Economy,Confirmed
BK00036,PS00842,FL0100,2026-06-09 06:30:00,Economy,Confirmed
