flight_id,flight_number,route_id,aircraft_id,departure_datetime,arrival_datetime,flight_status,terminal,gate_number,delay_minutes
FL0001,SF1001,RT0020,AC0040,2026-08-20T23:23:00.000+05:30,2026-08-21T14:33:00.000+05:30,CANCELLED,2026-08-22 02:00:00,B03,0
FL0002,SF1002,RT0093,AC0022,2026-08-01T11:44:00.000+05:30,2026-08-01T13:57:00.000+05:30,LANDED,2026-08-22 01:00:00,C04,0
FL0003,SF1003,RT0089,AC0034,2026-08-29T09:26:00.000+05:30,2026-08-29T14:55:00.000+05:30,SCHEDULED,2026-08-22 02:00:00,A04,0
FL0004,SF1004,RT0021,AC0018,2026-08-17T03:45:00.000+05:30,2026-08-18T06:00:00.000+05:30,SCHEDULED,2026-08-22 02:00:00,C01,0
FL0005,SF1005,RT0033,AC0003,2026-08-12T10:57:00.000+05:30,2026-08-12T23:09:00.000+05:30,SCHEDULED,2026-08-22 03:00:00,B02,0
FL0006,SF1006,RT0086,AC0011,2026-08-25T17:54:00.000+05:30,2026-08-26T10:56:00.000+05:30,CANCELLED,2026-08-22 03:00:00,C05,0
FL0007,SF1007,RT0035,AC0008,2026-08-12T19:26:00.000+05:30,2026-08-13T20:47:00.000+05:30,LANDED,2026-08-22 01:00:00,C01,0
FL0008,SF1008,RT0092,AC0011,2026-08-25T07:56:00.000+05:30,2026-08-26T00:43:00.000+05:30,BOARDING,2026-08-22 03:00:00,C04,0
FL0009,SF1009,RT0082,AC0015,2026-08-11T01:29:00.000+05:30,2026-08-11T11:08:00.000+05:30,DEPARTED,2026-08-22 02:00:00,A05,0
FL0010,SF1010,RT0049,AC0027,2026-08-30T09:55:00.000+05:30,2026-08-30T15:08:00.000+05:30,SCHEDULED,2026-08-22 02:00:00,A03,0
FL0011,SF1011,RT0001,AC0009,2026-08-15T00:09:00.000+05:30,2026-08-15T14:30:00.000+05:30,BOARDING,2026-08-22 02:00:00,B05,0
FL0012,SF1012,RT0094,AC0020,2026-08-13T23:44:00.000+05:30,2026-08-14T15:45:00.000+05:30,LANDED,2026-08-22 03:00:00,A01,0
FL0013,SF1013,RT0037,AC0038,2026-08-13T01:09:00.000+05:30,2026-08-13T05:31:00.000+05:30,SCHEDULED,2026-08-22 01:00:00,C03,0
FL0014,SF1014,RT0086,AC0007,2026-08-05T13:07:00.000+05:30,2026-08-06T06:09:00.000+05:30,DEPARTED,2026-08-22 02:00:00,C05,0
FL0015,SF1015,RT0018,AC0009,2026-08-22T01:50:00.000+05:30,2026-08-22T16:36:00.000+05:30,SCHEDULED,2026-08-22 03:00:00,B05,0
FL0016,SF1016,RT0064,AC0042,2026-08-11T06:12:00.000+05:30,2026-08-11T22:46:00.000+05:30,LANDED,2026-08-22 03:00:00,B02,0
FL0017,SF1017,RT0030,AC0036,2026-08-19T08:56:00.000+05:30,2026-08-20T06:13:00.000+05:30,SCHEDULED,2026-08-22 02:00:00,C03,0
FL0018,SF1018,RT0046,AC0025,2026-08-05T15:36:00.000+05:30,2026-08-05T17:17:00.000+05:30,SCHEDULED,2026-08-22 03:00:00,A01,0
FL0019,SF1019,RT0019,AC0040,2026-08-26T01:43:00.000+05:30,2026-08-26T08:17:00.000+05:30,SCHEDULED,2026-08-22 03:00:00,C01,0
FL0020,SF1020,RT0090,AC0037,2026-08-27T17:18:00.000+05:30,2026-08-28T05:00:00.000+05:30,SCHEDULED,2026-08-22 03:00:00,B04,0
FL0021,SF1021,RT0034,AC0027,2026-08-15T16:16:00.000+05:30,2026-08-16T02:35:00.000+05:30,LANDED,2026-08-22 03:00:00,B01,0
FL0022,SF1022,RT0020,AC0001,2026-08-18T08:13:00.000+05:30,2026-08-18T23:23:00.000+05:30,LANDED,2026-08-22 03:00:00,A01,0
FL0023,SF1023,RT0005,AC0009,2026-08-09T20:11:00.000+05:30,2026-08-10T21:54:00.000+05:30,BOARDING,2026-08-22 01:00:00,C02,0
