booking_id,passenger_id,flight_id,booking_date,seat_class,booking_status,ticket_price,tax,discount,final_amount,payment_status
BK00001,PS00769,FL0184,2026-04-26 17:10:00,Economy,Confirmed,7602,1368.36,1500,7470.360000000001,Pending
BK00002,PS00417,FL0167,2026-05-19 14:12:00,Economy,Pending,7706,1387.08,500,8593.08,Paid
BK00003,PS00414,FL0105,2026-05-30 17:34:00,Economy,Confirmed,7385,1329.3,500,8214.3,Paid
BK00004,PS00665,FL0076,2026-05-03 04:55:00,First,Confirmed,39449,7100.82,500,46049.82,Paid
BK00005,PS00316,FL0187,2026-04-14 08:25:00,Premium Economy,Confirmed,10604,1908.72,0,12512.72,Paid
BK00006,PS00932,FL0184,2026-04-20 17:10:00,Economy,Confirmed,7296,1313.28,2000,6609.280000000001,Paid
BK00007,PS00212,FL0109,2026-06-14 12:40:00,Economy,Confirmed,3389,610.02,1000,2999.02,Paid
BK00008,PS00714,FL0018,2026-05-31 12:17:00,Business,Confirmed,18544,3337.92,1000,20881.92,Paid
BK00009,PS00080,FL0003,2026-07-06 23:49:00,Economy,Confirmed,5253,945.54,0,6198.54,Paid
BK00010,PS00430,FL0129,2026-05-29 14:26:00,Economy,Confirmed,5223,940.14,2000,4163.14,Paid
BK00011,PS00740,FL0071,2026-07-19 11:54:00,Economy,Confirmed,7808,1405.44,1000,8213.44,Paid
BK00012,PS00890,FL0021,2026-08-27 13:15:00,Economy,Confirmed,3975,715.5,1000,3690.5,Pending
BK00013,PS00745,FL0049,2026-04-26 22:38:00,Economy,Confirmed,5450,981.0,1000,5431.0,Paid
BK00014,PS00436,FL0112,2026-06-22 07:16:00,Economy,Cancelled,4054,729.72,0,4783.72,Paid
BK00015,PS00972,FL0104,2026-07-01 18:18:00,Economy,Confirmed,5363,965.34,1500,4828.34,Paid
BK00016,PS00553,FL0136,2026-05-08 23:03:00,Economy,Pending,5648,1016.64,1500,5164.64,Paid
BK00017,PS00682,FL0105,2026-06-26 17:34:00,Economy,Confirmed,3232,581.76,0,3813.76,Paid
BK00018,PS00340,FL0134,2026-08-21 01:26:00,Premium Economy,Pending,11452,2061.36,1500,12013.36,Paid
BK00019,PS00038,FL0099,2026-06-01 07:40:00,Economy,Pending,7153,1287.54,500,7940.540000000001,Paid
BK00020,PS00474,FL0155,2026-08-02 02:26:00,Premium Economy,Confirmed,8210,1477.8,1000,8687.8,Paid
BK00021,PS00473,FL0162,2026-05-19 03:58:00,Economy,Confirmed,6861,1234.98,2000,6095.98,Paid
BK00022,PS00577,FL0141,2026-06-04 17:46:00,Business,Confirmed,13793,2482.74,2000,14275.74,Paid
BK00023,PS00806,FL0054,2026-08-05 02:06:00,Economy,Confirmed,4701,846.18,1000,4547.18,Paid
BK00024,PS00515,FL0140,2026-07-12 18:54:00,Economy,Confirmed,4757,856.26,500,5113.26,Paid
BK00025,PS00307,FL0072,2026-04-22 17:37:00,First,Confirmed,33578,6044.04,0,39622.04,Paid
BK00026,PS00311,FL0092,2026-05-22 05:58:00,Economy,Confirmed,3296,593.28,1000,2889.2799999999997,Paid
BK00027,PS00258,FL0141,2026-08-12 17:46:00,Economy,Pending,6593,1186.74,0,7779.74,Paid
BK00028,PS00086,FL0015,2026-07-05 09:39:00,Economy,Confirmed,6081,1094.58,1500,5675.58,Paid
BK00029,PS00219,FL0089,2026-07-20 02:43:00,Economy,Confirmed,3164,569.52,1500,2233.52,Paid
BK00030,PS00457,FL0189,2026-08-09 21:05:00,Economy,Confirmed,6695,1205.1,1500,6400.1,Pending
BK00031,PS00565,FL0151,2026-08-20 09:53:00,Economy,Confirmed,3997,719.46,1500,3216.46,Paid
BK00032,PS00634,FL0132,2026-06-21 04:23:00,Economy,Confirmed,7938,1428.84,0,9366.84,Paid
BK00033,PS00526,FL0080,2026-07-25 15:20:00,Economy,Confirmed,7172,1290.96,0,8462.96,Pending
BK00034,PS00355,FL0092,2026-05-23 05:58:00,Economy,Confirmed,7798,1403.64,0,9201.64,Paid
BK00035,PS00515,FL0078,2026-08-18 03:40:00,Business,Confirmed,21031,3785.58,500,24316.58,Paid
BK00036,PS00001,FL0055,2026-04-22 13:47:00,Economy,Confirmed,5181,932.58,500,5613.58,Paid
BK00037,PS00470,FL0194,2026-05-06 00:50:00,Premium Economy,Cancelled,8627,1552.86,2000,8179.860000000001,Paid
BK00038,PS00244,FL0057,2026-08-08 16:50:00,Economy,Cancelled,6482,1166.76,2000,5648.76,Paid
BK00039,PS00235,FL0006,2026-06-14 13:15:00,Premium Economy,Confirmed,9753,1755.54,0,11508.54,Paid
BK00040,PS00969,FL0189,2026-06-26 21:05:00,First,Confirmed,39264,7067.52,1500,44831.520000000004,Paid
BK00041,PS00949,FL0143,2026-05-10 11:04:00,Economy,Confirmed,6371,1146.78,2000,5517.78,Paid
BK00042,PS00306,FL0142,2026-05-09 00:45:00,Economy,Confirmed,5151,927.18,1000,5078.18,Paid
BK00043,PS00033,FL0137,2026-05-29 10:49:00,Economy,Confirmed,3607,649.26,1000,3256.26,Paid
BK00044,PS00126,FL0198,2026-05-30 04:24:00,Economy,Confirmed,7315,1316.7,2000,6631.700000000001,Refunded
BK00045,PS00430,FL0127,2026-05-30 03:21:00,Economy,Confirmed,6046,1088.28,0,7134.28,Paid
BK00046,PS00196,FL0133,2026-05-19 20:19:00,First,Confirmed,25653,4617.54,2000,28270.54,Paid
BK00047,PS00791,FL0155,2026-05-09 02:26:00,Economy,Confirmed,3188,573.84,1000,2761.84,Paid
BK00048,PS00868,FL0068,2026-07-27 12:55:00,Business,Confirmed,18310,3295.8,2000,19605.8,Paid
BK00049,PS00529,FL0035,2026-06-05 06:28:00,Business,Pending,12546,2258.28,2000,12804.28,Paid
BK00050,PS00096,FL0041,2026-05-07 18:59:00,Economy,Confirmed,6494,1168.92,1500,6162.92,Paid
BK00051,PS00921,FL0005,2026-05-13 20:50:00,Economy,Confirmed,6907,1243.26,500,7650.26,Paid
BK00052,PS00540,FL0055,2026-05-26 13:47:00,Premium Economy,Confirmed,11094,1996.92,1000,12090.92,Paid
BK00053,PS00431,FL0028,2026-07-21 14:58:00,Economy,Confirmed,3433,617.94,1000,3050.94,Paid
BK00054,PS00507,FL0112,2026-07-05 07:16:00,Economy,Confirmed,6108,1099.44,500,6707.4400000000005,Paid
BK00055,PS00996,FL0018,2026-05-28 12:17:00,Economy,Confirmed,7013,1262.34,2000,6275.34,Paid
BK00056,PS00008,FL0093,2026-05-07 04:38:00,Economy,Confirmed,6442,1159.56,0,7601.5599999999995,Pending
BK00057,PS00767,FL0177,2026-05-08 13:39:00,Economy,Confirmed,7866,1415.88,2000,7281.880000000001,Paid
BK00058,PS00972,FL0083,2026-04-13 22:15:00,Economy,Pending,7725,1390.5,1500,7615.5,Paid
BK00059,PS00450,FL0182,2026-07-30 04:36:00,Economy,Confirmed,5677,1021.86,1500,5198.86,Paid
BK00060,PS00248,FL0097,2026-07-02 02:43:00,Business,Pending,21821,3927.78,1000,24748.78,Paid
BK00061,PS00752,FL0098,2026-06-30 18:17:00,Economy,Confirmed,5294,952.92,0,6246.92,Pending
BK00062,PS00452,FL0113,2026-07-24 17:52:00,Business,Confirmed,14963,2693.34,1000,16656.34,Paid
BK00063,PS00903,FL0140,2026-06-28 18:54:00,Economy,Confirmed,3308,595.44,2000,1903.44,Paid
