flight_id,flight_number,route_id,aircraft_id,departure_datetime,arrival_datetime,flight_status,terminal,gate_number,delay_minutes
FL0001,SF1001,RT0022,AC0002,2026-08-23 05:34:00,2026-08-24 04:22:00,Scheduled,T3,A05,0
FL0002,SF1002,RT0020,AC0043,2026-08-14 05:27:00,2026-08-14 06:56:00,Departed,T1,C01,0
FL0003,SF1003,RT0053,AC0029,2026-08-20 13:25:00,2026-08-21 01:05:00,Delayed,T3,A01,30
FL0004,SF1004,RT0017,AC0034,2026-08-07 18:58:00,2026-08-08 14:30:00,Delayed,T1,C02,60
FL0005,SF1005,RT0092,AC0006,2026-08-05 17:34:00,2026-08-06 11:43:00,Scheduled,T1,B01,0
FL0006,SF1006,RT0088,AC0034,2026-08-03 00:29:00,2026-08-03 01:55:00,Delayed,T2,C01,90
FL0007,SF1007,RT0013,AC0023,2026-08-20 02:30:00,2026-08-21 02:14:00,Scheduled,T2,C05,0
FL0008,SF1008,RT0060,AC0037,2026-08-09 11:59:00,2026-08-09 13:57:00,Scheduled,T2,A02,0
FL0009,SF1009,RT0052,AC0007,2026-08-03 13:16:00,2026-08-03 23:00:00,Scheduled,T2,B02,0
FL0010,SF1010,RT0089,AC0008,2026-08-02 15:40:00,2026-08-03 04:28:00,Scheduled,T2,C04,0
FL0011,SF1011,RT0021,AC0010,2026-08-26 08:38:00,2026-08-26 20:04:00,Scheduled,T1,B02,0
FL0012,SF1012,RT0003,AC0010,2026-08-22 05:05:00,2026-08-22 09:47:00,Scheduled,T1,C01,0
FL0013,SF1013,RT0006,AC0034,2026-08-04 23:36:00,2026-08-05 16:23:00,Scheduled,T3,B03,0
FL0014,SF1014,RT0012,AC0019,2026-08-19 15:24:00,2026-08-19 19:26:00,Boarding,T1,C04,0
FL0015,SF1015,RT0058,AC0003,2026-08-05 01:38:00,2026-08-05 02:30:00,Landed,T1,A03,0
FL0016,SF1016,RT0063,AC0030,2026-08-14 19:47:00,2026-08-15 08:16:00,Scheduled,T1,A04,0
FL0017,SF1017,RT0068,AC0020,2026-08-01 18:32:00,2026-08-02 05:47:00,Scheduled,T2,C02,0
FL0018,SF1018,RT0051,AC0019,2026-08-02 14:01:00,2026-08-02 17:07:00,Scheduled,T3,B03,0
FL0019,SF1019,RT0066,AC0039,2026-08-08 17:28:00,2026-08-09 07:05:00,Scheduled,T1,A04,0
