payment_id,booking_id,payment_date,payment_method,amount,payment_status
PY00001,BK00001,2026-07-15 17:41:00,Net Banking,22000,Success
PY00002,BK00002,2026-07-21 04:42:00,UPI,3500,Success
PY00003,BK00003,2026-04-28 01:24:00,Wallet,3500,Success
PY00004,BK00004,2026-08-02 08:19:00,Debit Card,14800,Success
PY00005,BK00005,2026-05-03 02:44:00,Net Banking,7200,Success
PY00006,BK00006,2026-06-09 09:14:00,Debit Card,10500,Success
PY00007,BK00007,2026-05-01 12:14:00,Debit Card,3500,Success
PY00008,BK00008,2026-04-26 11:07:00,Debit Card,14800,Success
PY00009,BK00009,2026-06-18 06:21:00,UPI,3500,Success
PY00010,BK00010,2026-06-13 05:31:00,UPI,17500,Success
PY00011,BK00011,2026-04-16 08:06:00,Debit Card,22000,Success
PY00012,BK00012,2026-06-05 18:40:00,Debit Card,14800,Success
PY00013,BK00013,2026-07-12 07:47:00,Credit Card,17500,Success
PY00014,BK00014,2026-05-09 07:03:00,Credit Card,14800,Success
PY00015,BK00015,2026-06-11 19:19:00,Debit Card,10500,Success
PY00016,BK00016,2026-05-22 07:12:00,Credit Card,3500,Success
PY00017,BK00017,2026-08-03 07:22:00,UPI,7200,Refunded
PY00018,BK00018,2026-06-05 04:25:00,Wallet,7200,Success
PY00019,BK00019,2026-05-26 23:07:00,Credit Card,14800,Success
PY00020,BK00020,2026-06-15 03:16:00,Credit Card,5600,Success
PY00021,BK00021,2026-08-06 11:16:00,UPI,10500,Success
PY00022,BK00022,2026-05-26 02:31:00,Wallet,4200,Success
PY00023,BK00023,2026-05-10 02:52:00,Debit Card,17500,Success
PY00024,BK00024,2026-08-09 08:39:00,Net Banking,7200,Success
PY00025,BK00025,2026-05-09 06:36:00,Credit Card,8900,Failed
PY00026,BK00026,2026-07-17 04:24:00,Net Banking,5600,Success
PY00027,BK00027,2026-06-30 06:37:00,Wallet,22000,Success
PY00028,BK00028,2026-04-16 04:05:00,UPI,14800,Success
PY00029,BK00029,2026-05-06 01:29:00,Wallet,5600,Success
PY00030,BK00030,2026-05-21 00:06:00,Wallet,12500,Refunded
PY00031,BK00031,2026-06-06 01:05:00,UPI,5600,Success
PY00032,BK00032,2026-04-24 14:58:00,Wallet,17500,Success
PY00033,BK00033,2026-06-02 00:22:00,Wallet,7200,Success
PY00034,BK00034,2026-07-15 11:34:00,Credit Card,7200,Success
PY00035,BK00035,2026-07-22 00:11:00,UPI,3500,Success
PY00036,BK00036,2026-07-27 01:12:00,Net Banking,17500,Success
PY00037,BK00037,2026-05-27 10:01:00,Debit Card,22000,Success
PY00038,BK00038,2026-06-13 19:29:00,Wallet,5600,Success
