aircraft_id,aircraft_code,manufacturer,model,capacity,manufacturing_year,status
AC0002,737-800-002,BOEING,737-800,189,2017,INACTIVE
AC0004,737-800-004,BOEING,737-800,189,2018,ACTIVE
AC0005,737-800-005,BOEING,737-800,189,2021,INACTIVE
AC0007,737-800-007,BOEING,737-800,189,2016,INACTIVE
AC0026,737-800-026,BOEING,737-800,189,2021,ACTIVE
AC0035,737-800-035,BOEING,737-800,189,2021,ACTIVE
AC0042,737-800-042,BOEING,737-800,189,2023,ACTIVE
AC0009,737MAX8-009,BOEING,737 MAX 8,210,2022,MAINTENANCE
AC0015,737MAX8-015,BOEING,737 MAX 8,210,2018,MAINTENANCE
AC0019,737MAX8-019,BOEING,737 MAX 8,210,2018,ACTIVE
AC0024,737MAX8-024,BOEING,737 MAX 8,210,2016,ACTIVE
AC0025,737MAX8-025,BOEING,737 MAX 8,210,2017,ACTIVE
AC0028,737MAX8-028,BOEING,737 MAX 8,210,2021,INACTIVE
AC0041,737MAX8-041,BOEING,737 MAX 8,210,2025,ACTIVE
AC0045,737MAX8-045,BOEING,737 MAX 8,210,2022,INACTIVE
AC0018,777-300ER-018,BOEING,777-300ER,396,2021,MAINTENANCE
AC0022,777-300ER-022,BOEING,777-300ER,396,2020,ACTIVE
AC0048,777-300ER-048,BOEING,777-300ER,396,2025,INACTIVE
AC0003,787-9DREAMLINER-003,BOEING,787-9 Dreamliner,290,2018,INACTIVE
AC0038,787-9DREAMLINER-038,BOEING,787-9 Dreamliner,290,2022,INACTIVE
AC0047,787-9DREAMLINER-047,BOEING,787-9 Dreamliner,290,2018,MAINTENANCE
AC0049,787-9DREAMLINER-049,BOEING,787-9 Dreamliner,290,2020,MAINTENANCE
AC0006,A320-006,AIRBUS,A320,180,2023,MAINTENANCE
AC0016,A320-016,AIRBUS,A320,180,2018,MAINTENANCE
AC0036,A320-036,AIRBUS,A320,180,2017,MAINTENANCE
AC0046,A320-046,AIRBUS,A320,180,2023,INACTIVE
AC0050,A320-050,AIRBUS,A320,180,2016,MAINTENANCE
AC0013,A321-013,AIRBUS,A321,220,2018,INACTIVE
AC0023,A321-023,AIRBUS,A321,220,2021,INACTIVE
AC0027,A321-027,AIRBUS,A321,220,2022,MAINTENANCE
AC0040,A321-040,AIRBUS,A321,220,2022,ACTIVE
AC0044,A321-044,AIRBUS,A321,220,2024,MAINTENANCE
AC0001,A330-001,AIRBUS,A330,280,2021,MAINTENANCE
AC0010,A330-010,AIRBUS,A330,280,2020,MAINTENANCE
AC0031,A330-031,AIRBUS,A330,280,2017,INACTIVE
AC0032,A330-032,AIRBUS,A330,280,2017,ACTIVE
AC0033,A330-033,AIRBUS,A330,280,2020,INACTIVE
AC0034,A330-034,AIRBUS,A330,280,2017,ACTIVE
AC0037,A330-037,AIRBUS,A330,280,2023,ACTIVE
AC0039,A330-039,AIRBUS,A330,280,2025,INACTIVE
AC0043,A330-043,AIRBUS,A330,280,2022,MAINTENANCE
AC0008,A350-008,AIRBUS,A350,320,2024,ACTIVE
AC0011,A350-011,AIRBUS,A350,320,2024,ACTIVE
AC0012,A350-012,AIRBUS,A350,320,2020,MAINTENANCE
AC0014,A350-014,AIRBUS,A350,320,2019,ACTIVE
AC0017,A350-017,AIRBUS,A350,320,2024,ACTIVE
AC0020,A350-020,AIRBUS,A350,320,2024,INACTIVE
AC0021,A350-021,AIRBUS,A350,320,2021,ACTIVE
AC0029,A350-029,AIRBUS,A350,320,2025,INACTIVE
AC0030,A350-030,AIRBUS,A350,320,2023,INACTIVE
