booking_id,passenger_id,flight_id,booking_date,seat_class,booking_status,ticket_price,tax,discount,final_amount,payment_status
BK00001,PS00021,FL0137,2026-07-15T17:20:00.000+05:30,BUSINESS,PENDING,18149,3266.82,500,20915.82,PAID
BK00002,PS00830,FL0004,2026-07-21T03:45:00.000+05:30,PREMIUM ECONOMY,CONFIRMED,10350,1863.0,0,12213.0,PAID
BK00003,PS00095,FL0048,2026-04-28T00:59:00.000+05:30,PREMIUM ECONOMY,CANCELLED,11255,2025.9,2000,11280.9,PAID
BK00004,PS00770,FL0163,2026-08-02T08:18:00.000+05:30,ECONOMY,CONFIRMED,3232,581.76,1000,2813.76,PAID
BK00005,PS00660,FL0092,2026-05-03T01:56:00.000+05:30,ECONOMY,CONFIRMED,3220,579.6,1000,2799.6,PAID
BK00006,PS00578,FL0097,2026-06-09T09:06:00.000+05:30,ECONOMY,CONFIRMED,6183,1112.94,500,6795.94,PAID
BK00007,PS00930,FL0153,2026-05-01T12:05:00.000+05:30,ECONOMY,CONFIRMED,4257,766.26,0,5023.26,PAID
BK00008,PS00895,FL0187,2026-04-26T10:08:00.000+05:30,BUSINESS,CONFIRMED,19101,3438.18,500,22039.18,PAID
BK00009,PS00320,FL0117,2026-06-18T05:35:00.000+05:30,ECONOMY,PENDING,3159,568.62,1000,2727.62,PAID
BK00010,PS00922,FL0066,2026-06-13T05:19:00.000+05:30,ECONOMY,CONFIRMED,7899,1421.82,500,8820.82,PAID
BK00011,PS00294,FL0111,2026-04-16T07:32:00.000+05:30,ECONOMY,CONFIRMED,6445,1160.1,500,7105.1,PAID
BK00012,PS00463,FL0040,2026-06-05T17:55:00.000+05:30,ECONOMY,CONFIRMED,4544,817.92,2000,3361.92,PAID
BK00013,PS00539,FL0111,2026-07-12T07:32:00.000+05:30,ECONOMY,CONFIRMED,7237,1302.66,1500,7039.66,REFUNDED
BK00014,PS00809,FL0094,2026-05-09T06:12:00.000+05:30,BUSINESS,PENDING,24592,4426.56,0,29018.56,PAID
BK00015,PS00855,FL0166,2026-06-11T19:03:00.000+05:30,PREMIUM ECONOMY,CONFIRMED,11056,1990.08,2000,11046.08,PAID
BK00016,PS00339,FL0094,2026-05-22T06:12:00.000+05:30,ECONOMY,CONFIRMED,7677,1381.86,500,8558.86,PAID
BK00017,PS00113,FL0177,2026-08-03T07:12:00.000+05:30,ECONOMY,CONFIRMED,4292,772.56,1500,3564.56,PAID
BK00018,PS00862,FL0035,2026-06-05T03:33:00.000+05:30,ECONOMY,CONFIRMED,4738,852.84,1000,4590.84,PAID
BK00019,PS00114,FL0050,2026-05-26T22:38:00.000+05:30,ECONOMY,CONFIRMED,6513,1172.34,1000,6685.34,PAID
BK00020,PS00353,FL0188,2026-06-15T03:01:00.000+05:30,ECONOMY,CONFIRMED,5654,1017.72,1500,5171.72,PAID
BK00021,PS00593,FL0005,2026-08-06T10:57:00.000+05:30,ECONOMY,CONFIRMED,7175,1291.5,1500,6966.5,PAID
BK00022,PS00851,FL0127,2026-05-26T01:50:00.000+05:30,FIRST,CONFIRMED,31444,5659.92,0,37103.92,PAID
BK00023,PS00714,FL0079,2026-05-10T02:26:00.000+05:30,ECONOMY,CONFIRMED,6106,1099.08,1000,6205.08,PAID
BK00024,PS00755,FL0200,2026-08-09T07:44:00.000+05:30,PREMIUM ECONOMY,CONFIRMED,8204,1476.72,500,9180.72,PAID
BK00025,PS00269,FL0155,2026-05-09T06:11:00.000+05:30,ECONOMY,CANCELLED,5429,977.22,500,5906.22,PAID
BK00026,PS00533,FL0030,2026-07-17T04:05:00.000+05:30,ECONOMY,CONFIRMED,6576,1183.68,0,7759.68,PAID
