payment_id,booking_id,payment_date,payment_method,amount,payment_status
PY00001,BK00001,2026-07-15T17:41:00.000+05:30,NET BANKING,22000.0,SUCCESS
PY00002,BK00002,2026-07-21T04:42:00.000+05:30,UPI,3500.0,SUCCESS
PY00003,BK00003,2026-04-28T01:24:00.000+05:30,WALLET,3500.0,SUCCESS
PY00004,BK00004,2026-08-02T08:19:00.000+05:30,DEBIT CARD,14800.0,SUCCESS
PY00005,BK00005,2026-05-03T02:44:00.000+05:30,NET BANKING,7200.0,SUCCESS
PY00006,BK00006,2026-06-09T09:14:00.000+05:30,DEBIT CARD,10500.0,SUCCESS
PY00007,BK00007,2026-05-01T12:14:00.000+05:30,DEBIT CARD,3500.0,SUCCESS
PY00008,BK00008,2026-04-26T11:07:00.000+05:30,DEBIT CARD,14800.0,SUCCESS
PY00009,BK00009,2026-06-18T06:21:00.000+05:30,UPI,3500.0,SUCCESS
PY00010,BK00010,2026-06-13T05:31:00.000+05:30,UPI,17500.0,SUCCESS
PY00011,BK00011,2026-04-16T08:06:00.000+05:30,DEBIT CARD,22000.0,SUCCESS
PY00012,BK00012,2026-06-05T18:40:00.000+05:30,DEBIT CARD,14800.0,SUCCESS
PY00013,BK00013,2026-07-12T07:47:00.000+05:30,CREDIT CARD,17500.0,SUCCESS
PY00014,BK00014,2026-05-09T07:03:00.000+05:30,CREDIT CARD,14800.0,SUCCESS
PY00015,BK00015,2026-06-11T19:19:00.000+05:30,DEBIT CARD,10500.0,SUCCESS
PY00016,BK00016,2026-05-22T07:12:00.000+05:30,CREDIT CARD,3500.0,SUCCESS
PY00017,BK00017,2026-08-03T07:22:00.000+05:30,UPI,7200.0,REFUNDED
PY00018,BK00018,2026-06-05T04:25:00.000+05:30,WALLET,7200.0,SUCCESS
PY00019,BK00019,2026-05-26T23:07:00.000+05:30,CREDIT CARD,14800.0,SUCCESS
PY00020,BK00020,2026-06-15T03:16:00.000+05:30,CREDIT CARD,5600.0,SUCCESS
PY00021,BK00021,2026-08-06T11:16:00.000+05:30,UPI,10500.0,SUCCESS
PY00022,BK00022,2026-05-26T02:31:00.000+05:30,WALLET,4200.0,SUCCESS
PY00023,BK00023,2026-05-10T02:52:00.000+05:30,DEBIT CARD,17500.0,SUCCESS
PY00024,BK00024,2026-08-09T08:39:00.000+05:30,NET BANKING,7200.0,SUCCESS
PY00025,BK00025,2026-05-09T06:36:00.000+05:30,CREDIT CARD,8900.0,FAILED
PY00026,BK00026,2026-07-17T04:24:00.000+05:30,NET BANKING,5600.0,SUCCESS
PY00027,BK00027,2026-06-30T06:37:00.000+05:30,WALLET,22000.0,SUCCESS
PY00028,BK00028,2026-04-16T04:05:00.000+05:30,UPI,14800.0,SUCCESS
PY00029,BK00029,2026-05-06T01:29:00.000+05:30,WALLET,5600.0,SUCCESS
PY00030,BK00030,2026-05-21T00:06:00.000+05:30,WALLET,12500.0,REFUNDED
PY00031,BK00031,2026-06-06T01:05:00.000+05:30,UPI,5600.0,SUCCESS
PY00032,BK00032,2026-04-24T14:58:00.000+05:30,WALLET,17500.0,SUCCESS
PY00033,BK00033,2026-06-02T00:22:00.000+05:30,WALLET,7200.0,SUCCESS
PY00034,BK00034,2026-07-15T11:34:00.000+05:30,CREDIT CARD,7200.0,SUCCESS
PY00035,BK00035,2026-07-22T00:11:00.000+05:30,UPI,3500.0,SUCCESS
PY00036,BK00036,2026-07-27T01:12:00.000+05:30,NET BANKING,17500.0,SUCCESS
PY00037,BK00037,2026-05-27T10:01:00.000+05:30,DEBIT CARD,22000.0,SUCCESS
PY00038,BK00038,2026-06-13T19:29:00.000+05:30,WALLET,5600.0,SUCCESS
PY00039,BK00039,2026-06-17T19:24:00.000+05:30,WALLET,10500.0,SUCCESS
PY00040,BK00040,2026-08-29T09:17:00.000+05:30,NET BANKING,17500.0,SUCCESS
PY00041,BK00041,2026-07-24T17:50:00.000+05:30,WALLET,22000.0,SUCCESS
PY00042,BK00042,2026-08-08T17:20:00.000+05:30,UPI,22000.0,SUCCESS
PY00043,BK00043,2026-05-09T10:04:00.000+05:30,DEBIT CARD,5600.0,SUCCESS
PY00044,BK00044,2026-06-18T05:34:00.000+05:30,DEBIT CARD,5600.0,SUCCESS
PY00045,BK00045,2026-08-10T01:54:00.000+05:30,CREDIT CARD,8900.0,SUCCESS
PY00046,BK00046,2026-04-16T00:55:00.000+05:30,NET BANKING,22000.0,SUCCESS
PY00047,BK00047,2026-04-13T12:59:00.000+05:30,CREDIT CARD,4200.0,SUCCESS
PY00048,BK00048,2026-05-30T10:46:00.000+05:30,DEBIT CARD,17500.0,SUCCESS
PY00049,BK00049,2026-05-07T13:48:00.000+05:30,CREDIT CARD,14800.0,SUCCESS
PY00050,BK00050,2026-06-07T17:25:00.000+05:30,NET BANKING,3500.0,REFUNDED
PY00051,BK00051,2026-07-22T12:19:00.000+05:30,DEBIT CARD,12500.0,SUCCESS
PY00052,BK00052,2026-08-01T18:47:00.000+05:30,WALLET,3500.0,REFUNDED
PY00053,BK00053,2026-06-10T16:29:00.000+05:30,UPI,22000.0,SUCCESS
PY00054,BK00054,2026-04-15T07:40:00.000+05:30,WALLET,22000.0,SUCCESS
PY00055,BK00055,2026-04-17T21:23:00.000+05:30,UPI,14800.0,SUCCESS
PY00056,BK00056,2026-07-29T06:17:00.000+05:30,UPI,7200.0,SUCCESS
PY00057,BK00057,2026-08-02T23:27:00.000+05:30,DEBIT CARD,12500.0,SUCCESS
PY00058,BK00058,2026-05-29T23:26:00.000+05:30,WALLET,10500.0,SUCCESS
PY00059,BK00059,2026-07-02T03:49:00.000+05:30,UPI,14800.0,SUCCESS
