route_id,source_airport,destination_airport,route_type,distance_km,duration_minutes,fuel_estimate_liters
RT0001,GOI,DWC,INTERNATIONAL,6627,861,31809.6
RT0002,EDI,BHX,DOMESTIC,2493,293,11966.4
RT0003,BLR,BOS,INTERNATIONAL,2764,312,13267.2
RT0004,LYS,KIX,INTERNATIONAL,2695,341,12936.0
RT0005,SYD,MAN,INTERNATIONAL,11919,1543,57211.2
RT0006,DEL,BNE,INTERNATIONAL,10417,1422,50001.6
RT0007,YUL,ORD,INTERNATIONAL,3912,413,18777.6
RT0008,KIX,ORY,INTERNATIONAL,10100,1238,48480.0
RT0009,MAN,DXB,INTERNATIONAL,10196,1321,48940.8
RT0010,PNQ,ORD,INTERNATIONAL,6774,794,32515.2
RT0011,DEL,CCU,DOMESTIC,1259,161,6043.2
RT0012,SIN,MUC,INTERNATIONAL,4879,684,23419.2
RT0013,BNE,SEA,INTERNATIONAL,2962,358,14217.6
RT0014,SFO,DWC,INTERNATIONAL,2663,293,12782.4
RT0015,XSP,YVR,INTERNATIONAL,5667,715,27201.6
RT0016,YYZ,DEL,INTERNATIONAL,9397,992,45105.6
RT0017,DWC,HND,INTERNATIONAL,8682,1194,41673.6
RT0018,COK,LAX,INTERNATIONAL,6805,886,32664.0
RT0019,BLR,CDG,INTERNATIONAL,2916,394,13996.8
RT0020,AMD,MAN,INTERNATIONAL,8956,910,42988.8
RT0021,KIX,HAM,INTERNATIONAL,11354,1575,54499.2
RT0022,SYD,FRA,INTERNATIONAL,3371,346,16180.8
RT0023,LYS,HYD,INTERNATIONAL,7116,876,34156.8
RT0024,RKT,DFW,INTERNATIONAL,10884,1173,52243.2
RT0025,DXB,AUH,DOMESTIC,919,95,4411.2
RT0026,DFW,DXB,INTERNATIONAL,4883,635,23438.4
RT0027,YVR,BNE,INTERNATIONAL,10529,1302,50539.2
RT0028,FRA,HND,INTERNATIONAL,5771,821,27700.8
RT0029,KIX,MUC,INTERNATIONAL,10225,1328,49080.0
RT0030,ORY,LGW,INTERNATIONAL,11192,1277,53721.6
RT0031,ATL,LHR,INTERNATIONAL,9049,1069,43435.2
RT0032,COK,DWC,INTERNATIONAL,10069,1072,48331.2
RT0033,LGW,JFK,INTERNATIONAL,7246,732,34780.8
RT0034,YVR,DEL,INTERNATIONAL,5185,619,24888.0
RT0035,EDI,HYD,INTERNATIONAL,11624,1521,55795.2
RT0036,BER,DWC,INTERNATIONAL,9257,1168,44433.6
RT0037,YYZ,MEL,INTERNATIONAL,2506,262,12028.8
RT0038,XSP,DEL,INTERNATIONAL,10453,1228,50174.4
RT0039,NRT,ATL,INTERNATIONAL,8729,1063,41899.2
RT0040,FRA,LAX,INTERNATIONAL,5448,562,26150.4
RT0041,JFK,AMD,INTERNATIONAL,3926,522,18844.8
RT0042,BLR,SYD,INTERNATIONAL,10477,1141,50289.6
RT0043,NCE,AMD,INTERNATIONAL,7382,898,35433.6
RT0044,CDG,MEL,INTERNATIONAL,5155,686,24744.0
RT0045,ORY,YUL,INTERNATIONAL,11311,1453,54292.8
RT0046,COK,BLR,DOMESTIC,719,101,3451.2
RT0047,BOS,SEA,DOMESTIC,1591,164,7636.8
RT0048,ORD,SHJ,INTERNATIONAL,11590,1230,55632.0
RT0049,COK,AUH,INTERNATIONAL,2763,313,13262.4
RT0050,PNQ,YUL,INTERNATIONAL,7560,793,36288.0
RT0051,XSP,LHR,INTERNATIONAL,8938,1036,42902.4
RT0052,LAX,DFW,DOMESTIC,1371,152,6580.8
RT0053,CTS,CDG,INTERNATIONAL,4044,421,19411.2
RT0054,PNQ,SHJ,INTERNATIONAL,3864,396,18547.2
RT0055,DXB,FRA,INTERNATIONAL,6112,688,29337.6
RT0056,LAX,BOM,INTERNATIONAL,4517,620,21681.6
RT0057,LGW,PNQ,INTERNATIONAL,4567,484,21921.6
RT0058,EDI,LYS,INTERNATIONAL,7396,970,35500.8
RT0059,RKT,NCE,INTERNATIONAL,2995,301,14376.0
RT0060,LAX,SHJ,INTERNATIONAL,8727,957,41889.6
RT0061,SEA,EDI,INTERNATIONAL,8891,936,42676.8
RT0062,SHJ,BNE,INTERNATIONAL,4496,622,21580.8
RT0063,ATL,PNQ,INTERNATIONAL,10476,1233,50284.8
RT0064,AUH,LHR,INTERNATIONAL,8076,994,38764.8
RT0065,NRT,LHR,INTERNATIONAL,5327,748,25569.6
RT0066,SFO,MAA,INTERNATIONAL,9177,1305,44049.6
RT0067,MUC,EDI,INTERNATIONAL,9970,1348,47856.0
RT0068,DFW,DEL,INTERNATIONAL,2613,370,12542.4
RT0069,LAX,FRA,INTERNATIONAL,10053,1280,48254.4
RT0070,HYD,YUL,INTERNATIONAL,10245,1374,49176.0
RT0071,BER,MEL,INTERNATIONAL,5896,761,28300.8
RT0072,MAN,AMD,INTERNATIONAL,6341,796,30436.8
RT0073,NCE,SIN,INTERNATIONAL,5263,716,25262.4
RT0074,ATL,KIX,INTERNATIONAL,4686,608,22492.8
RT0075,ORY,ATL,INTERNATIONAL,4741,610,22756.8
RT0076,SHJ,DEL,INTERNATIONAL,11642,1202,55881.6
RT0077,EDI,LAS,INTERNATIONAL,5655,793,27144.0
RT0078,HYD,GOI,DOMESTIC,2112,217,10137.6
RT0079,NRT,ORD,INTERNATIONAL,4807,543,23073.6
RT0080,ATL,LAX,DOMESTIC,1004,110,4819.2
RT0081,SFO,LYS,INTERNATIONAL,5790,669,27792.0
RT0082,HYD,BNE,INTERNATIONAL,4853,579,23294.4
RT0083,MAA,MEL,INTERNATIONAL,10001,1042,48004.8
RT0084,BLR,EDI,INTERNATIONAL,6248,873,29990.4
RT0085,MAN,YUL,INTERNATIONAL,8752,1246,42009.6
RT0086,EDI,LAX,INTERNATIONAL,7684,1022,36883.2
RT0087,LAX,BLR,INTERNATIONAL,6073,683,29150.4
RT0088,MAA,DFW,INTERNATIONAL,5056,586,24268.8
RT0089,SFO,YVR,INTERNATIONAL,3017,329,14481.6
RT0090,HAM,LHR,INTERNATIONAL,5145,702,24696.0
RT0091,MAN,LAS,INTERNATIONAL,6106,659,29308.8
RT0092,BOM,MAN,INTERNATIONAL,7267,1007,34881.6
RT0093,MIA,ATL,DOMESTIC,1120,133,5376.0
RT0094,CDG,ORD,INTERNATIONAL,8116,961,38956.8
RT0095,BOS,BER,INTERNATIONAL,4661,507,22372.8
RT0096,BNE,MAN,INTERNATIONAL,10250,1333,49200.0
RT0097,DXB,SEA,INTERNATIONAL,7768,889,37286.4
RT0098,AMD,GOI,DOMESTIC,2035,232,9768.0
RT0099,SYD,MUC,INTERNATIONAL,3061,352,14692.8
RT0100,HND,GOI,INTERNATIONAL,6923,777,33230.4
